Risultati istanze con algoritmo CVC modificato da euristica: 20%  k=4 connesso con i 5 vicini di grado
  : |     NOME ISTANZA                        | |TEMPO       | |VALORE SOLUZIONE| |BEST BOUND  | |STATO       | |NUMERO NODI | |NUMERO ARCHI| |IS VERTEX COVER| |IS CONNECTED VERTEX COVER     |
24 CVC: |matrix_50_3_u_conn_conv.txt         | |0,172       | |29,000000       | |29,000000   | |Optimal     | |50          | |125         | |true           | |true        |

25 CVC: |matrix_50_4_u_conn_conv.txt         | |0,128       | |32,000000       | |32,000000   | |Optimal     | |50          | |150         | |true           | |true        |

26 CVC: |matrix_BA_50_2_2_conv.txt           | |0,033       | |23,000000       | |23,000000   | |Optimal     | |50          | |97          | |true           | |true        |

27 CVC: |matrix_BA_50_3_5_conv.txt           | |0,086       | |26,000000       | |26,000000   | |Optimal     | |50          | |144         | |true           | |true        |

28 CVC: |matrix_BA_50_4_5_conv.txt           | |0,124       | |30,000000       | |30,000000   | |Optimal     | |50          | |190         | |true           | |true        |

29 CVC: |matrix_SW_100_200_025_conv.txt      | |0,485       | |60,000000       | |60,000000   | |Optimal     | |100         | |200         | |true           | |true        |

30 CVC: |matrix_SW_100_200_050_conv.txt      | |0,464       | |60,000000       | |60,000000   | |Optimal     | |100         | |200         | |true           | |true        |

31 CVC: |matrix_SW_100_200_075_conv.txt      | |0,287       | |57,000000       | |57,000000   | |Optimal     | |100         | |200         | |true           | |true        |

32 CVC: |mexican_35_conv.txt                 | |0,034       | |22,000000       | |22,000000   | |Optimal     | |35          | |117         | |true           | |true        |

33 CVC: |NetScience_max_comp_379_914_conv.txt| |3,470       | |214,000000      | |214,000000  | |Optimal     | |379         | |914         | |true           | |true        |

34 CVC: |prison_67_conv.txt                  | |0,079       | |42,000000       | |42,000000   | |Optimal     | |67          | |142         | |true           | |true        |

35 CVC: |sanjuansur_75_conv.txt              | |0,095       | |41,000000       | |41,000000   | |Optimal     | |75          | |144         | |true           | |true        |

36 CVC: |santafe_118_conv.txt                | |0,149       | |53,000000       | |53,000000   | |Optimal     | |118         | |200         | |true           | |true        |

37 CVC: |sawmill_36_conv.txt                 | |0,033       | |19,000000       | |19,000000   | |Optimal     | |36          | |62          | |true           | |true        |

38 CVC: |SmallWorld_max_comp_233_994_conv.txt| |0,243       | |85,000000       | |85,000000   | |Optimal     | |233         | |994         | |true           | |true        |

39 CVC: |tailor_shopT1_39_conv.txt           | |0,051       | |22,000000       | |22,000000   | |Optimal     | |39          | |158         | |true           | |true        |

40 CVC: |tailor_shopT2_39_conv.txt           | |0,053       | |26,000000       | |26,000000   | |Optimal     | |39          | |223         | |true           | |true        |

41 CVC: |Treni_Roma.txt                      | |300,034     | |236,000000      | |219,098849  | |Feasible    | |255         | |272         | |true           | |true        |

42 CVC: |u500-1_conv.txt                     | |300,178     | |305,000000      | |288,177592  | |Feasible    | |500         | |1450        | |true           | |true        |

43 CVC: |u500-2_conv.txt                     | |300,156     | |336,000000      | |295,572473  | |Feasible    | |500         | |2079        | |true           | |true        |

44 CVC: |u500-3_conv.txt                     | |300,077     | |331,000000      | |292,169816  | |Feasible    | |500         | |1782        | |true           | |true        |

45 CVC: |USAir97.txt                         | |1,797       | |149,000000      | |149,000000  | |Optimal     | |332         | |2126        | |true           | |true        |

46 CVC: |USAir97_332_conv.txt                | |1,349       | |149,000000      | |149,000000  | |Optimal     | |332         | |2126        | |true           | |true        |

