Risultati istanze con algoritmo CVC modificato da euristica: 20%  k=4 connesso con i 5 vicini di grado
|     NOME ISTANZA                        | |TEMPO       | |VALORE SOLUZIONE| |BEST BOUND  | |STATO       | |NUMERO NODI | |NUMERO ARCHI| |IS VERTEX COVER| |IS CONNECTED VERTEX COVER     |
30 CVC: |matrix_SW_100_200_050_conv.txt      | |0,178       | |60,000000       | |60,000000   | |Optimal     | |100         | |200         | |true           | |true        |

31 CVC: |matrix_SW_100_200_075_conv.txt      | |0,210       | |58,000000       | |58,000000   | |Optimal     | |100         | |200         | |true           | |true        |

32 CVC: |mexican_35_conv.txt                 | |0,036       | |22,000000       | |22,000000   | |Optimal     | |35          | |117         | |true           | |true        |

33 CVC: |NetScience_max_comp_379_914_conv.txt| |3,609       | |214,000000      | |214,000000  | |Optimal     | |379         | |914         | |true           | |true        |

34 CVC: |prison_67_conv.txt                  | |0,053       | |42,000000       | |42,000000   | |Optimal     | |67          | |142         | |true           | |true        |

35 CVC: |sanjuansur_75_conv.txt              | |0,094       | |41,000000       | |41,000000   | |Optimal     | |75          | |144         | |true           | |true        |

36 CVC: |santafe_118_conv.txt                | |0,177       | |53,000000       | |53,000000   | |Optimal     | |118         | |200         | |true           | |true        |

37 CVC: |sawmill_36_conv.txt                 | |0,028       | |19,000000       | |19,000000   | |Optimal     | |36          | |62          | |true           | |true        |

38 CVC: |SmallWorld_max_comp_233_994_conv.txt| |0,369       | |85,000000       | |85,000000   | |Optimal     | |233         | |994         | |true           | |true        |

39 CVC: |tailor_shopT1_39_conv.txt           | |0,040       | |22,000000       | |22,000000   | |Optimal     | |39          | |158         | |true           | |true        |

40 CVC: |tailor_shopT2_39_conv.txt           | |0,058       | |26,000000       | |26,000000   | |Optimal     | |39          | |223         | |true           | |true        |

41 CVC: |Treni_Roma.txt                      | |300,082     | |236,000000      | |227,750000  | |Feasible    | |255         | |272         | |true           | |true        |

42 CVC: |u500-1_conv.txt                     | |300,074     | |304,000000      | |293,208979  | |Feasible    | |500         | |1450        | |true           | |true        |

43 CVC: |u500-2_conv.txt                     | |300,138     | |336,000000      | |307,951060  | |Feasible    | |500         | |2079        | |true           | |true        |

44 CVC: |u500-3_conv.txt                     | |300,389     | |323,000000      | |301,633228  | |Feasible    | |500         | |1782        | |true           | |true        |

45 CVC: |USAir97.txt                         | |0,729       | |149,000000      | |149,000000  | |Optimal     | |332         | |2126        | |true           | |true        |

46 CVC: |USAir97_332_conv.txt                | |0,554       | |149,000000      | |149,000000  | |Optimal     | |332         | |2126        | |true           | |true        |

